INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Sam Houston State University,Huntsville,TX,77340,4,5,-95.546205,30.714738
San Antonio College,San Antonio,TX,78212-3941,4,4,-98.497647,29.44634
San Jacinto Community College,Pasadena,TX,77505,5,5,-95.114677,29.660032
Schreiner University,Kerrville,TX,78028-5697,2,2,-99.130586,30.031458
Seguin Beauty School-Seguin,Seguin,TX,78155,-2,1,-97.96436,29.569142
St. Mary's University,San Antonio,TX,78228,2,2,-98.562778,29.453244
South Plains College,Levelland,TX,79336,3,3,-102.365075,33.575904
South Texas Barber College Inc,Corpus Christi,TX,78415,-2,1,-97.417156,27.754868
South Texas College of Law Houston,Houston,TX,77002-7006,2,2,-95.36455,29.753171
South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,78599,-2,1,-98.006077,26.176606
Miller-Motte College-STVT-McAllen,McAllen,TX,78503,-2,1,-98.238293,26.188539
Southern Methodist University,Dallas,TX,75275-0221,3,4,-96.783365,32.843612
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,78221-0138,-2,1,-98.49583,29.357965
Southwest Texas College,Uvalde,TX,78801-6297,3,3,-99.741237,29.219671
Nelson University,Waxahachie,TX,75165,2,2,-96.853492,32.40443
Southwestern University,Georgetown,TX,78626,2,2,-97.665738,30.634341
Stephen F Austin State University,Nacogdoches,TX,75961,3,4,-94.64908,31.621056
Texas State University,San Marcos,TX,78666,5,5,-97.943029,29.888885
Southwestern Adventist University,Keene,TX,76059,2,1,-97.32702,32.397617
Southwestern Christian College,Terrell,TX,75160-4812,1,1,-96.285649,32.735508
Sul Ross State University,Alpine,TX,79832,2,2,-103.651469,30.363139
Tarleton State University,Stephenville,TX,76401-0000,3,4,-98.219039,32.217805
Tarrant County College District,Fort Worth,TX,76102,5,5,-97.337149,32.757362
Temple College,Temple,TX,76504-7435,3,3,-97.350471,31.070715
University of Texas Southwestern Medical Center,Dallas,TX,75390-9096,2,2,-96.841156,32.812307
The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900,3,2,-98.575655,29.508107
The University of Texas Medical Branch at Galveston,Galveston,TX,77555-0129,3,2,-94.775956,29.310758
Texarkana College,Texarkana,TX,75599,3,2,-94.078,33.441868
Texas A&M University-Kingsville,Kingsville,TX,78363,3,3,-97.882387,27.525168
Texas A&M University-College Station,College Station,TX,77843-1246,5,5,-96.336475,30.618726
Texas A & M University-System Office,College Station,TX,77840-7896,-2,-2,-96.327705,30.636846
The University of Texas at Arlington,Arlington,TX,76013,5,5,-97.11296,32.729718
The University of Texas at Austin,Austin,TX,78705,5,5,-97.738273,30.282825
The University of Texas at Dallas,Richardson,TX,75080-3021,4,5,-96.749702,32.984673
The University of Texas at El Paso,El Paso,TX,79968-0691,4,5,-106.504098,31.77015
The University of Texas at Tyler,Tyler,TX,75799-6699,3,4,-95.254337,32.315772
Texas Chiropractic College Foundation Inc,Pasadena,TX,77505-1699,1,1,-95.150135,29.663702
Texas Christian University,Fort Worth,TX,76129,3,4,-97.364758,32.70961
Texas College,Tyler,TX,75702,2,1,-95.312454,32.37456
University of North Texas Health Science Center,Fort Worth,TX,76107-2699,2,2,-97.369138,32.749907
Texas Lutheran University,Seguin,TX,78155-5999,2,2,-97.982669,29.573261
The University of Texas Permian Basin,Odessa,TX,79762-0001,3,3,-102.329634,31.889509
The University of Texas at San Antonio,San Antonio,TX,78249-1644,4,5,-98.620657,29.583709
Texas Southern University,Houston,TX,77004,3,3,-95.361113,29.721046
The University of Texas System Office,Austin,TX,78701-2982,-2,-2,-97.744284,30.269742
Texas Tech University,Lubbock,TX,79409-5005,5,5,-101.874783,33.583448
Texas Wesleyan University,Fort Worth,TX,76105-1536,2,2,-97.279613,32.732962
Texas Woman's University,Denton,TX,76204,4,4,-97.127842,33.226211
Trinity University,San Antonio,TX,78212-7200,2,2,-98.48186,29.462682
The University of Texas Health Science Center at Houston,Houston,TX,77030,3,2,-95.403183,29.702873
Texas Tech University Health Sciences Center,Lubbock,TX,79430,3,3,-101.891915,33.589284
Tyler Junior College,Tyler,TX,75701,3,4,-95.284122,32.33601
University of Houston-System Administration,Houston,TX,77204-2018,-2,-2,-95.343537,29.720393
Universal Technical Institute of Texas Inc.,Houston,TX,77073,2,2,-95.412113,29.990487
UCAS University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,78504,-2,1,-98.21787,26.279439
Vernon College,Vernon,TX,76384-4092,2,2,-99.319094,34.159298
Victoria Beauty & Barber College,Victoria,TX,77901-6233,-2,1,-96.990854,28.807928
Victoria College,Victoria,TX,77901,3,2,-96.979226,28.816446
Vogue College of Cosmetology-McAllen,McAllen,TX,78501-1945,-2,1,-98.223022,26.232656
Wayland Baptist University,Plainview,TX,79072,3,2,-101.730042,34.187677
Weatherford College,Weatherford,TX,76086-5699,3,3,-97.792629,32.74133
West Texas A & M University,Canyon,TX,79016-0001,3,3,-101.914736,34.982789
Western Texas College,Snyder,TX,79549,2,2,-100.914945,32.678458
Wharton County Junior College,Wharton,TX,77488,3,3,-96.085815,29.3238
Wiley University,Marshall,TX,75670,2,1,-94.376814,32.537641
Bridgerland Technical College,Logan,UT,84321,-2,2,-111.850619,41.756188
Brigham Young University,Provo,UT,84602,5,5,-111.649281,40.250851
